country,index
AD,0
AE,1
AF,2
AL,3
AM,4
AO,5
AR,6
AT,7
AU,8
AZ,9
BA,10
BB,11
BD,12
BE,13
BF,14
BG,15
BH,16
BI,17
BJ,18
BN,19
BO,20
BR,21
BS,22
BT,23
BW,24
BY,25
BZ,26
CA,27
CD,28
CF,29
CG,30
CH,31
CI,32
CL,33
CM,34
CO,35
CR,36
CV,37
CY,38
CZ,39
DE,40
DJ,41
DK,42
DO,43
DZ,44
EC,45
EE,46
EG,47
ER,48
ES,49
ET,50
FI,51
FJ,52
FM,53
FR,54
GA,55
GB,56
GD,57
GE,58
GH,59
GM,60
GN,61
GQ,62
GR,63
GT,64
GW,65
GY,66
HK,67
HN,68
HR,69
HT,70
HU,71
ID,72
IE,73
IL,74
IN,75
IQ,76
IS,77
IT,78
JM,79
JO,80
JP,81
KE,82
KG,83
KH,84
KI,85
KM,86
KR,87
KW,88
KZ,89
LA,90
LB,91
LC,92
LK,93
LR,94
LS,95
LT,96
LU,97
LV,98
LY,99
MA,100
MD,101
ME,102
MG,103
MK,104
ML,105
MM,106
MN,107
MO,108
MR,109
MT,110
MU,111
MV,112
MW,113
MX,114
MY,115
MZ,116
NA,117
NE,118
NG,119
NI,120
NL,121
NO,122
NP,123
NZ,124
OM,125
PA,126
PE,127
PG,128
PH,129
PK,130
PL,131
PT,132
PY,133
QA,134
RO,135
RS,136
RU,137
RW,138
SA,139
SB,140
SD,141
SE,142
SG,143
SI,144
SK,145
SL,146
SN,147
SR,148
SS,149
ST,150
SV,151
SY,152
SZ,153
TD,154
TG,155
TH,156
TJ,157
TL,158
TM,159
TN,160
TO,161
TR,162
TT,163
TW,164
TZ,165
UA,166
UG,167
US,168
UY,169
UZ,170
VC,171
VE,172
VN,173
VU,174
WS,175
XK,176
YE,177
ZA,178
ZM,179
ZW,180
